nocontrat;exposition;zone;puissance;agevehicule;ageconducteur;bonus;marque;carburant;densite;region;nbre;no;garantie;cout
18134;1;A;15;1;73;50;10;E;24;13;2;26483;2DO;2193.19
18134;1;A;15;1;73;50;10;E;24;13;2;26482;1RC;5468.42
18207;1;C;7;5;56;50;2;E;82;13;2;97887;2DO;8389.31
18207;1;C;7;5;56;50;2;E;82;13;2;97886;1RC;0
18417;0.5;B;5;5;53;50;1;E;53;13;1;78487;1RC;57.77
18464;1;D;7;14;63;50;1;E;24;13;2;81103;2DO;75.3
18464;1;D;7;14;63;50;1;E;24;13;2;81092;1RC;10.16
18783;1;B;7;3;80;73;3;E;41;5;1;23905;4BG;291.42
18799;1;A;6;6;55;50;2;D;24;13;1;30474;4BG;252.97
19265;1;C;5;4;61;50;2;E;53;13;1;27250;2DO;524.55
19424;0.87;C;6;1;71;62;2;D;53;13;2;78342;1RC;1128.12
19424;0.87;C;6;1;71;62;2;D;53;13;2;78353;2DO;0
19919;1;A;5;8;68;50;2;E;24;13;1;99352;2DO;720.52
19982;0.24;A;6;5;41;50;2;D;24;13;2;47143;1RC;0
20094;1;B;7;5;68;50;1;D;24;13;2;99758;4BG;54.7
20094;1;B;7;5;68;50;1;D;24;13;2;99757;2DO;157.57
20319;1;C;8;1;45;50;2;D;24;13;2;30658;2DO;503.35
20319;1;C;8;1;45;50;2;D;24;13;2;30639;1RC;402.79
20674;0.31;E;4;10;21;100;2;E;52;0;1;30739;4BG;165.34
21082;1;D;6;4;40;50;5;E;25;13;1;97766;4BG;316.38
21384;0.66;C;6;7;43;50;2;D;82;13;1;28492;2DO;648.48
21397;1;C;10;14;53;50;2;D;24;13;1;86722;4BG;146.04
21779;0.93;E;4;0;55;75;4;E;26;5;1;91261;4BG;102.04
21846;0.5;A;7;4;52;50;2;E;24;13;2;87312;2DO;83.34
21846;0.5;A;7;4;52;50;2;E;24;13;2;87301;1RC;3407.2
21931;0.91;A;5;9;50;50;2;E;24;13;2;87634;5CO;0
21931;0.91;A;5;9;50;50;2;E;24;13;2;87623;2DO;1521.7
22061;1;C;4;1;42;50;1;E;26;13;2;88362;2DO;0
22061;1;C;4;1;42;50;1;E;26;13;2;88373;3VI;306.93
22067;0.89;A;5;4;60;50;1;E;24;13;1;75332;4BG;212.87
22176;1;D;5;7;76;50;2;E;24;13;1;26496;2DO;643.32
22364;1;A;6;3;47;50;1;D;26;13;1;24238;1RC;914.09
22565;0.91;C;6;6;45;50;2;D;53;13;1;27110;4BG;340.28
22797;0.55;E;6;7;51;50;13;E;53;13;2;25335;1RC;0
22797;0.55;E;6;7;51;50;13;E;53;13;2;25346;2DO;1983.74
22889;1;B;7;6;44;50;2;D;25;13;2;59224;1RC;1128.12
22889;1;B;7;6;44;50;2;D;25;13;2;59236;2DO;1262.27
22913;0.72;E;6;7;51;50;1;E;11;13;2;99461;1RC;304.9
22913;0.72;E;6;7;51;50;1;E;11;13;2;99462;2DO;2780.79
23147;0.4;E;13;2;56;50;13;E;82;13;1;97984;2DO;2808.29
23261;0.34;D;4;6;66;50;5;E;11;13;1;24694;4BG;359.63
23887;1;C;5;2;40;50;5;E;53;13;1;76305;4BG;101.83
23891;1;B;5;3;29;76;5;E;53;5;1;57237;1RC;803.14
24032;1;A;6;3;25;76;3;E;53;5;1;92047;1RC;1377.95
24161;0.24;D;7;2;45;50;2;D;53;13;1;41361;4BG;115.15
24201;0.59;C;4;1;30;56;12;E;53;13;1;93178;4BG;376.97
24356;0.49;C;4;12;28;67;5;E;24;7;1;98479;3VI;612.12
24415;1;B;7;5;74;52;2;E;24;13;2;34464;1RC;1128.12
24415;1;B;7;5;74;52;2;E;24;13;2;34475;2DO;542.17
24771;0.76;C;5;2;27;74;3;D;53;5;2;30803;4BG;244.11
24771;0.76;C;5;2;27;74;3;D;53;5;2;30704;1RC;57.74
24869;1;B;7;13;38;50;2;D;24;13;1;30811;4BG;348.79
24992;1;B;6;6;23;112;2;D;24;-1;4;30859;1RC;1128.12
24992;1;B;6;6;23;112;2;D;24;-1;4;30897;2DO;0
24992;1;B;6;6;23;112;2;D;24;-1;4;30896;1RC;1128.12
24992;1;B;6;6;23;112;2;D;24;-1;4;30860;2DO;72.39
25044;0.86;B;6;7;27;80;2;D;24;4;2;30916;4BG;160.14
25044;0.86;B;6;7;27;80;2;D;24;4;2;31953;2DO;239.87
25472;1;B;7;5;29;50;1;D;24;13;1;30955;1RC;84.97
25489;1;A;6;6;63;50;2;D;24;13;3;28628;2DO;429.68
25489;1;A;6;6;63;50;2;D;24;13;3;28617;1RC;1009.69
25489;1;A;6;6;63;50;2;D;24;13;3;30925;4BG;323.51
25755;0.78;C;4;9;31;62;2;D;74;13;2;29129;1RC;2081.53
25755;0.78;C;4;9;31;62;2;D;74;13;2;26843;2DO;485.48
25813;1;A;5;16;48;66;2;D;74;7;1;29056;4BG;164.55
25826;1;F;6;12;47;50;1;D;11;13;1;29082;4BG;117.75
25972;1;C;4;8;65;50;5;E;74;13;1;28999;3VI;65.48
26320;1;E;4;8;38;64;4;D;11;8;2;51468;3VI;590.95
26320;1;E;4;8;38;64;4;D;11;8;2;51456;2DO;72.93
26454;1;A;4;7;47;68;2;D;52;7;1;79616;4BG;113.87
26514;0.24;B;5;10;36;50;2;D;52;13;1;79605;4BG;166.13
27056;0.58;A;7;13;33;64;1;E;52;8;1;23276;4BG;72.03
27238;0.15;A;7;14;55;50;2;D;24;13;1;91837;2DO;1540.64
27746;0.41;C;5;14;49;62;4;D;24;13;1;24044;4BG;184.91
28093;1;A;5;6;39;50;5;D;24;13;1;24318;4BG;215.25
28321;1;B;6;6;50;70;6;D;24;6;3;96709;4BG;351.19
28321;1;B;6;6;50;70;6;D;24;6;3;96320;2DO;1949.27
28321;1;B;6;6;50;70;6;D;24;6;3;96309;1RC;1128.12
28462;0.08;A;6;3;47;50;5;D;24;13;1;23897;1RC;65.27
28517;0.98;A;6;5;24;80;6;D;24;4;1;23889;4BG;450.03
28548;1;C;4;17;33;68;1;E;24;7;1;23877;4BG;163.32
28610;0.11;D;6;2;56;50;3;D;93;13;2;67447;1RC;1128.12
28610;0.11;D;6;2;56;50;3;D;93;13;2;67558;2DO;5149.55
28615;1;C;4;5;50;52;6;E;24;13;2;23870;1RC;1128.12
28615;1;C;4;5;50;52;6;E;24;13;2;23871;2DO;1565.68
28702;0.87;C;8;16;39;76;10;E;24;5;1;74212;1RC;1187.79
28928;1;A;6;11;26;64;2;E;24;8;1;32474;1RC;245.99
29076;1;C;4;13;77;52;2;E;24;13;1;23938;1RC;681.62
29215;1;A;7;14;52;56;5;E;24;13;2;23962;4BG;164.5
29615;1;C;7;8;35;50;1;E;53;13;2;27195;2DO;66.64
29615;1;C;7;8;35;50;1;E;53;13;2;27191;4BG;122.02
29694;0.45;A;8;8;26;76;12;E;24;5;1;27193;1RC;1208.7
29832;1;D;6;6;33;50;3;D;53;13;2;27188;2DO;1335.72
29878;0.75;D;6;13;41;50;1;E;53;13;1;23807;1RC;1987.24
29993;0.58;B;7;5;43;58;1;D;53;13;2;27300;2DO;818.63
29993;0.58;B;7;5;43;58;1;D;53;13;2;27299;1RC;1128.12
30088;0.89;D;6;14;38;50;2;D;53;13;1;27333;4BG;0
30105;0.66;D;4;6;35;50;2;D;53;13;1;44756;4BG;246.6
30125;0.86;C;5;18;40;50;3;E;53;13;1;27984;1RC;1128.12
30187;1;D;4;16;37;60;1;E;53;9;1;27301;1RC;0
30243;1;D;7;4;30;57;3;E;53;10;1;27315;4BG;127.26
30441;0.57;E;4;13;49;90;1;E;53;2;1;27179;1RC;1128.12
30571;0.43;D;6;8;56;50;1;D;53;13;2;27160;6CL;0
30571;0.43;D;6;8;56;50;1;D;53;13;2;27159;2DO;2118.13
31569;0.92;E;4;2;44;58;2;E;83;13;3;89029;2DO;1549.08
31685;1;C;5;24;20;106;1;E;26;-1;1;45556;1RC;1128.12
31753;0.19;A;9;11;37;87;2;E;74;2;2;91051;1RC;1128.12
31753;0.19;A;9;11;37;87;2;E;74;2;2;91063;2DO;0
31875;0.32;A;7;3;44;60;3;E;26;9;1;90852;2DO;1117.68
31936;1;C;10;1;48;50;12;E;26;13;1;88996;3VI;357.21
31988;0.21;C;10;0;47;50;3;D;26;13;1;89919;4BG;349.89
32004;1;C;5;11;47;50;3;E;26;13;1;89675;1RC;0
32382;1;A;7;12;53;50;1;E;83;13;1;37613;3VI;0
32905;1;E;4;9;63;50;2;E;93;13;1;25917;4BG;233.65
33201;1;C;5;4;32;69;2;D;54;6;2;28145;2DO;204.07
33201;1;C;5;4;32;69;2;D;54;6;2;28144;1RC;1303.48
33243;1;D;4;10;67;50;1;E;54;13;1;28148;1RC;1128.12
33268;1;D;10;8;26;90;2;D;54;2;1;37280;1RC;1128.12
33708;1;B;6;7;58;50;13;D;52;13;1;99474;1RC;913.52
33876;1;D;6;3;51;55;2;D;54;13;1;82021;4BG;248.72
33959;1;D;4;11;43;51;14;E;54;12;1;43848;4BG;309.61
34036;0.6;C;9;2;35;80;11;D;52;4;1;82165;4BG;316.08
34165;0.47;D;6;3;35;90;2;E;53;2;1;29660;4BG;259.63
34195;1;E;7;3;45;50;1;E;54;13;1;29642;1RC;77.12
34332;1;C;9;12;43;50;10;D;24;13;1;74920;4BG;100.81
34336;1;C;6;4;64;50;1;D;24;13;1;74710;4BG;215.03
34780;1;C;4;2;24;80;1;E;24;4;1;66024;4BG;106.12
35034;1;C;5;4;27;80;1;E;82;4;3;56638;2DO;3441.79
35034;1;C;5;4;27;80;1;E;82;4;3;56283;4BG;207.3
35034;1;C;5;4;27;80;1;E;82;4;3;56627;1RC;0
35125;1;C;5;1;63;50;12;E;82;13;1;56239;1RC;2723.29
35131;1;D;5;5;39;50;6;E;82;13;1;57494;3VI;528.13
35404;0.14;D;4;4;39;58;2;E;82;13;1;26032;4BG;243.52
35500;1;D;5;2;55;50;2;E;82;13;2;69555;1RC;1128.12
35500;1;D;5;2;55;50;2;E;82;13;2;69666;2DO;2799.74
35508;0.83;E;7;2;49;71;1;D;82;6;1;28453;4BG;290.38
35515;0.37;E;6;13;52;76;1;D;82;5;1;28401;1RC;1128.12
35561;0.11;D;4;11;22;85;1;D;82;3;1;36682;4BG;278.15
35700;0.47;E;6;0;30;51;1;E;82;12;1;28533;2DO;3932.22
35702;1;C;7;12;45;62;3;E;82;13;1;28524;1RC;1128.12
36054;1;C;5;9;46;50;2;E;24;13;1;30066;4BG;200.22
36562;0.39;C;6;2;27;80;1;D;24;4;2;26434;3VI;2760.98
36562;0.39;C;6;2;27;80;1;D;24;4;2;26433;2DO;457.35
36694;1;B;9;7;39;90;12;D;24;2;1;26289;4BG;139.79
36850;1;E;7;1;56;50;3;E;24;13;1;44182;4BG;319.55
36861;1;E;5;5;23;50;3;D;24;13;4;26239;4BG;262.04
36861;1;E;5;5;23;50;3;D;24;13;4;26182;4BG;0
36861;1;E;5;5;23;50;3;D;24;13;4;26181;3VI;533.57
36861;1;E;5;5;23;50;3;D;24;13;4;26180;2DO;3655.84
36973;0.71;E;5;4;32;50;2;E;24;13;1;26353;2DO;199.76
36988;1;C;7;7;69;58;1;D;24;13;1;26426;1RC;1128.12
37025;0.96;E;7;11;32;85;1;E;24;3;1;26349;1RC;77.49
37237;0.75;F;6;7;26;60;1;D;11;9;2;26520;1RC;177.38
37237;0.75;F;6;7;26;60;1;D;11;9;2;26522;2DO;20.62
37867;0.98;C;5;6;47;50;5;D;24;13;2;48418;2DO;586.62
37867;0.98;C;5;6;47;50;5;D;24;13;2;49072;3VI;291.41
38333;1;B;4;5;22;100;5;E;23;0;3;98915;4BG;159.67
38333;1;B;4;5;22;100;5;E;23;0;3;98914;1RC;0
38500;0.89;A;7;10;44;50;2;D;24;13;2;99053;1RC;2465.44
38500;0.89;A;7;10;44;50;2;D;24;13;2;99055;2DO;0
38527;0.32;E;4;13;51;50;14;E;24;13;2;99033;4BG;122.33
38527;0.32;E;4;13;51;50;14;E;24;13;2;99077;4BG;211.62
38771;0.94;A;6;9;48;80;1;D;24;4;1;28794;4BG;150.07
38838;0.78;D;7;7;53;50;3;D;82;13;4;30351;2DO;228.52
38838;0.78;D;7;7;53;50;3;D;82;13;4;30352;3VI;6448.59
38838;0.78;D;7;7;53;50;3;D;82;13;4;30255;4BG;57.42
38838;0.78;D;7;7;53;50;3;D;82;13;4;30250;1RC;766.05
38942;0.83;C;5;4;53;50;1;E;82;13;1;30362;4BG;348.91
39034;0.05;D;7;14;52;100;2;E;24;0;1;68888;1RC;87.33
39143;0.62;E;6;9;19;100;1;D;24;0;1;24243;1RC;427.65
39319;1;A;4;9;52;50;3;D;24;13;1;24299;1RC;1128.12
39463;1;F;7;15;69;50;1;E;11;13;2;27040;1RC;113.96
39463;1;F;7;15;69;50;1;E;11;13;2;45812;1RC;1128.12
39620;0.92;D;6;15;43;50;1;D;82;13;1;27395;1RC;1128.12
39724;0.2;E;6;6;40;51;2;D;82;12;1;26725;2DO;533.47
39782;1;F;7;4;57;50;3;E;11;13;2;83075;2DO;423.9
39782;1;F;7;4;57;50;3;E;11;13;2;65336;2DO;1320.34
39834;1;C;11;2;56;50;12;D;24;13;2;26735;4BG;297.13
39834;1;C;11;2;56;50;12;D;24;13;2;26794;2DO;512.15
39937;1;C;7;14;46;50;3;E;93;13;1;26790;4BG;202.13
40021;1;E;13;8;31;76;11;E;11;5;1;26815;4BG;113.73
40025;0.56;E;6;1;40;50;10;D;11;13;1;26887;1RC;1067.17
40100;0.9;E;5;1;33;52;10;D;11;13;5;38078;3VI;365.88
40100;0.9;E;5;1;33;52;10;D;11;13;5;38056;1RC;0
40100;0.9;E;5;1;33;52;10;D;11;13;5;38067;2DO;279.12
40503;1;D;6;5;54;50;6;E;82;13;1;29432;4BG;137.61
40523;0.87;C;5;5;27;64;1;E;82;8;1;29480;4BG;269.85
40671;1;C;11;9;35;58;6;E;82;13;2;98732;4BG;222.61
40671;1;C;11;9;35;58;6;E;82;13;2;98739;1RC;1128.12
40884;0.75;B;6;4;30;60;3;D;82;9;1;98728;1RC;647.33
41040;0.5;C;10;10;37;54;5;D;82;11;1;98696;4BG;340.97
41648;1;C;7;4;38;50;12;D;25;13;2;35672;4BG;134.73
41648;1;C;7;4;38;50;12;D;25;13;2;97807;2DO;168.99
41738;0.47;D;4;13;58;50;2;E;25;13;1;97794;1RC;360.43
41996;0.66;D;5;6;25;95;5;D;53;1;1;24766;1RC;74.38
42189;0.91;A;6;7;28;85;2;D;21;3;1;24698;4BG;235.68
42479;1;F;6;9;44;50;4;E;11;13;1;79150;1RC;283.22
42748;1;C;5;2;64;50;3;D;24;13;2;30452;1RC;766.3
42748;1;C;5;2;64;50;3;D;24;13;2;30453;2DO;275.25
43190;1;D;6;8;39;50;2;D;23;13;1;94194;4BG;670.15
43216;0.98;D;6;6;62;50;1;D;24;13;1;94423;1RC;2122.31
43219;0.23;D;4;18;29;125;1;E;24;-1;1;94204;1RC;1128.12
43261;0.87;D;5;4;19;95;2;E;24;1;2;94734;1RC;49.74
43261;0.87;D;5;4;19;95;2;E;24;1;2;94578;4BG;564.06
43298;0.75;D;10;17;49;85;2;D;24;3;2;94934;1RC;99.72
43298;0.75;D;10;17;49;85;2;D;24;3;2;94412;4BG;252.39
43389;0.72;C;5;10;48;50;5;D;23;13;1;94523;4BG;290.59
43527;0.24;D;9;8;50;76;13;E;24;5;1;94667;1RC;1128.12
43729;0.7;C;4;8;63;62;2;E;31;13;2;53908;1RC;0
43729;0.7;C;4;8;63;62;2;E;31;13;2;54020;2DO;1128.12
43864;0.52;E;6;14;29;100;13;E;52;0;1;24168;1RC;229.43
43947;0.14;B;8;16;30;80;5;E;24;4;1;24190;4BG;245.85
44213;0.43;C;5;8;29;51;5;D;24;12;1;67559;4BG;145.74
44238;1;D;10;10;34;50;2;D;24;13;1;67046;4BG;16841.67
44536;0.29;E;10;3;51;76;11;E;82;5;1;98249;3VI;564.06
44649;1;D;7;5;37;90;2;D;91;2;2;98294;1RC;0
44668;1;C;10;4;35;88;1;D;82;2;1;36205;1RC;381.12
44813;0.87;E;5;8;99;50;1;E;82;13;2;77687;2DO;130.41
44813;0.87;E;5;8;99;50;1;E;82;13;2;77698;3VI;0
45017;0.62;C;7;4;42;50;1;D;82;13;4;23357;2DO;1430.73
45017;0.62;C;7;4;42;50;1;D;82;13;4;86733;1RC;695.63
45017;0.62;C;7;4;42;50;1;D;82;13;4;23359;3VI;805.14
45017;0.62;C;7;4;42;50;1;D;82;13;4;86844;2DO;0
45091;1;E;10;16;31;90;13;E;82;2;1;37900;1RC;214.23
45138;0.75;D;6;3;29;50;1;D;82;13;1;23406;4BG;283.07
45286;1;C;7;3;34;50;2;E;82;13;1;23408;4BG;486.5
45565;1;C;4;3;46;50;1;E;41;13;1;97540;2DO;2425.45
45886;0.33;C;6;16;21;112;1;D;41;-1;2;97414;1RC;0
45886;0.33;C;6;16;21;112;1;D;41;-1;2;33008;1RC;203.36
45983;1;D;5;10;57;50;5;D;41;13;1;97478;4BG;312.26
46046;1;D;9;9;68;50;1;E;41;13;1;97671;4BG;201.84
46559;1;C;11;14;50;50;2;E;72;13;1;72264;4BG;2030.28
46886;0.27;C;4;12;34;125;2;E;24;-1;1;72873;1RC;233.73
47675;0.78;E;6;6;43;63;2;D;82;13;1;23541;4BG;38.78
47904;0.75;C;6;9;32;50;1;D;82;13;1;23673;1RC;286.64
47924;0.36;E;10;11;32;76;10;D;82;5;1;23771;4BG;965.52
48165;1;C;14;5;41;59;11;E;54;13;2;40019;3VI;1326.22
48165;1;C;14;5;41;59;11;E;54;13;2;25740;2DO;411.12
48435;0.6;E;8;10;46;69;13;E;53;6;1;40862;4BG;56.35
48531;1;C;4;14;55;50;1;E;53;13;1;42372;4BG;564.06
48633;0.66;E;6;5;22;95;2;E;11;1;1;26421;1RC;60.53
48871;0.92;C;5;5;37;50;1;D;52;13;1;37856;1RC;209.05
48955;1;B;4;12;40;68;2;E;52;7;1;44014;4BG;302.59
49117;0.99;B;5;6;32;50;5;D;82;13;1;45055;2DO;923.68
49163;1;C;10;11;55;52;2;D;52;13;1;25306;2DO;1220.25
49196;1;D;11;6;65;50;10;D;52;13;1;25348;1RC;432.89
49229;1;D;5;4;39;50;5;D;52;13;1;25308;2DO;316.56
49394;0.43;D;6;13;27;95;1;D;52;1;1;25154;4BG;3538.48
49568;1;B;6;2;52;50;1;D;52;13;1;24859;1RC;1586.96
49732;0.48;A;6;10;36;50;2;D;24;13;1;25031;2DO;337.96
49809;1;D;5;4;65;50;3;D;52;13;1;25143;4BG;0
49828;1;C;7;1;61;50;3;D;52;13;2;24936;2DO;439.6
49828;1;C;7;1;61;50;3;D;52;13;2;24934;1RC;672.57
49933;1;E;4;6;51;51;13;E;52;12;1;25133;3VI;1128.12
49939;0.75;C;6;5;35;56;2;D;52;13;2;25195;1RC;402.89
49939;0.75;C;6;5;35;56;2;D;52;13;2;25196;2DO;476.08
49968;0.11;C;6;1;46;50;13;D;52;13;1;45179;2DO;1128.12
49971;1;E;7;10;43;85;12;D;52;3;1;24864;1RC;1128.12
50045;1;C;5;5;51;50;5;D;52;13;2;25350;1RC;1145.05
50045;1;C;5;5;51;50;5;D;52;13;2;25351;2DO;232.11
50049;0.34;B;6;12;26;80;2;D;52;4;1;29888;4BG;822.15
50206;0.64;E;4;1;51;52;1;E;52;13;1;25312;3VI;0
50387;0.89;D;6;17;21;112;3;D;52;-1;1;25366;1RC;1128.12
50485;0.71;C;7;5;23;76;3;E;52;5;4;25089;1RC;1774.35
50485;0.71;C;7;5;23;76;3;E;52;5;4;25091;2DO;494.58
50485;0.71;C;7;5;23;76;3;E;52;5;4;25227;1RC;0
50485;0.71;C;7;5;23;76;3;E;52;5;4;25228;2DO;0
50856;0.96;D;6;2;53;96;5;E;11;0;3;26541;2DO;1128.12
50856;0.96;D;6;2;53;96;5;E;11;0;3;26540;1RC;148.68
50856;0.96;D;6;2;53;96;5;E;11;0;3;30876;2DO;121.61
50957;1;A;5;13;58;50;2;E;21;13;2;65114;2DO;1098.71
50957;1;A;5;13;58;50;2;E;21;13;2;65225;3VI;1781.87
51196;0.74;D;8;7;29;95;1;D;11;1;1;26653;1RC;104.34
51728;1;A;8;9;51;50;12;E;24;13;1;27880;4BG;226.78
51947;1;C;10;6;99;57;1;D;24;10;1;27460;4BG;4329.55
52060;0.46;A;7;16;52;50;2;D;24;13;2;27649;1RC;2953.38
52060;0.46;A;7;16;52;50;2;D;24;13;2;27650;2DO;104.43
52106;1;A;6;7;35;50;1;D;24;13;1;27757;4BG;1128.12
52427;0.19;B;7;14;35;95;2;D;24;1;1;27461;1RC;286.7
52587;1;B;5;2;26;72;1;E;24;6;1;27907;1RC;70.6
52788;0.93;A;5;11;34;54;2;E;24;11;1;27499;4BG;290.69
52886;0.56;E;6;6;47;50;3;D;83;13;3;27567;1RC;13.36
52886;0.56;E;6;6;47;50;3;D;83;13;3;27568;2DO;945.11
53925;0.91;C;7;10;28;72;2;E;24;6;1;36660;3VI;432.01
53931;1;A;6;5;35;60;1;D;24;9;1;35894;4BG;693.32
53964;0.18;A;10;10;32;68;2;D;24;7;1;85736;1RC;1128.12
54009;0.56;A;4;4;46;50;4;D;24;13;7;86500;1RC;438.54
54009;0.56;A;4;4;46;50;4;D;24;13;7;86290;1RC;374.73
54009;0.56;A;4;4;46;50;4;D;24;13;7;86512;2DO;0
54009;0.56;A;4;4;46;50;4;D;24;13;7;87233;2DO;2187.66
54009;0.56;A;4;4;46;50;4;D;24;13;7;86523;1RC;1128.12
54009;0.56;A;4;4;46;50;4;D;24;13;7;87222;1RC;289.17
54009;0.56;A;4;4;46;50;4;D;24;13;7;87211;2DO;0
54035;1;B;7;5;60;50;2;D;24;13;1;86412;1RC;0
54246;0.51;B;8;3;42;76;2;D;24;5;2;86101;2DO;6657.84
54246;0.51;B;8;3;42;76;2;D;24;5;2;86112;3VI;296.16
54443;0.17;C;6;4;67;78;2;E;24;4;1;42427;4BG;1128.12
54801;0.71;C;5;15;43;75;2;E;24;5;1;24652;1RC;230.41
54832;1;C;5;7;44;50;4;D;24;13;1;35483;4BG;104.38
54835;0.78;A;6;13;49;50;2;D;24;13;1;24576;4BG;273.9
54859;1;B;6;3;55;50;2;E;24;13;1;24533;2DO;61.15
55365;1;D;6;5;67;53;2;D;82;13;2;98234;2DO;685.77
55365;1;D;6;5;67;53;2;D;82;13;2;98232;1RC;462.01
55610;1;E;5;12;48;55;3;E;82;13;1;98082;1RC;10.23
55655;1;E;6;5;32;55;3;D;82;13;1;98173;1RC;482.65
55837;1;E;4;6;36;50;1;E;82;13;1;98221;4BG;134.03
55888;1;C;6;2;38;50;1;D;82;13;1;97857;4BG;413.31
55965;1;D;4;6;24;50;4;D;82;13;1;98158;4BG;42.16
56237;1;F;8;11;45;90;12;E;11;2;1;26697;1RC;363.76
56512;0.97;B;6;2;49;50;1;D;24;13;2;99907;4BG;128.89
56512;0.97;B;6;2;49;50;1;D;24;13;2;99607;4BG;86.78
56610;0.41;D;4;11;23;80;1;E;24;4;1;40707;4BG;324.91
56626;1;C;6;6;30;80;3;D;24;4;1;99516;4BG;2297.7
56693;0.45;A;6;4;25;76;1;E;24;5;1;99867;2DO;0
56760;0.45;C;6;2;51;50;12;D;24;13;1;99623;4BG;91.35
56999;0.81;C;7;14;25;100;1;E;24;0;2;99739;2DO;3771.43
56999;0.81;C;7;14;25;100;1;E;24;0;2;99738;1RC;2688.73
57110;0.9;B;6;5;34;50;1;D;24;13;1;99658;2DO;175.23
57294;1;C;5;13;34;50;2;D;53;13;1;83262;4BG;123.99
57394;0.87;C;7;9;54;50;5;E;53;13;1;84482;4BG;507.12
57447;0.96;C;4;2;80;50;2;E;53;13;2;84051;2DO;3685.63
57447;0.96;C;4;2;80;50;2;E;53;13;2;85448;2DO;69.59
57536;1;C;7;11;59;50;2;D;53;13;1;82653;4BG;1724.72
57552;1;C;5;8;21;118;1;E;53;-1;1;32130;2DO;352.02
57608;1;C;6;2;99;50;1;D;53;13;1;85381;4BG;495.7
57660;1;C;5;3;32;54;3;D;53;11;1;82642;4BG;106.05
57703;0.84;C;10;11;33;58;5;E;53;13;3;84018;4BG;115.32
57703;0.84;C;10;11;33;58;5;E;53;13;3;84338;1RC;352.62
57703;0.84;C;10;11;33;58;5;E;53;13;3;84007;3VI;517.93
57879;1;C;7;12;30;60;5;E;53;9;1;84062;1RC;0
58080;1;A;7;3;52;50;1;D;24;13;2;99294;2DO;1128.12
58080;1;A;7;3;52;50;1;D;24;13;2;99293;1RC;1198.25
58390;1;A;7;6;52;50;2;D;24;13;1;37093;2DO;220.07
58397;1;C;5;6;37;50;5;D;24;13;1;99339;4BG;0
58401;0.89;C;6;3;47;50;1;D;24;13;2;99321;1RC;12330.64
58401;0.89;C;6;3;47;50;1;D;24;13;2;99322;2DO;213.96
58908;0.25;C;7;2;36;50;4;E;24;13;1;64171;2DO;97.92
